Genus,Sample,Samples_type,pilot,granule_type,year,mean_abundance,mean
Nitrospira,ALAR.9,Backwash_water,A_used_granules,NA,2023,0.543504491218662,15.894546869971352
Novosphingobium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.5592459956087178,1.1708991495904235
Novosphingobium,ALAR.2,Granules,A_used_granules,Backwashed_granules,2022,0.41396833962942975,1.1708991495904235
Novosphingobium,ALAR.3,Granules,B_virgin_granules,Whole_granules,2022,1.9919820408110225,1.1708991495904235
Novosphingobium,ALAR.4,Granules,B_virgin_granules,Backwashed_granules,2022,1.865785002775001,1.1708991495904235
Novosphingobium,ALAR.5,Granules,B_virgin_granules,Whole_granules,2023,0.22284044810004094,1.1708991495904235
Novosphingobium,ALAR.6,Granules,B_virgin_granules,Backwashed_granules,2023,0.20544526614740038,1.1708991495904235
Novosphingobium,ALAR.7,Backwash_water,A_used_granules,NA,2022,0.6886377425842755,1.1708991495904235
Novosphingobium,ALAR.8,Backwash_water,A_used_granules,NA,2022,3.454646553425051,1.1708991495904235
Novosphingobium,ALAR.9,Backwash_water,A_used_granules,NA,2023,1.135540957232873,1.1708991495904235
Other (< 3%),ALAR.1,Granules,A_used_granules,Whole_granules,2022,34.81161995109624,1.8048710582067305e-5
Other (< 3%),ALAR.2,Granules,A_used_granules,Backwashed_granules,2022,34.086616297895304,1.8048710582067305e-5
Other (< 3%),ALAR.3,Granules,B_virgin_granules,Whole_granules,2022,31.39885448443678,1.8048710582067305e-5
Other (< 3%),ALAR.4,Granules,B_virgin_granules,Backwashed_granules,2022,28.772091807552414,1.8048710582067305e-5
Other (< 3%),ALAR.5,Granules,B_virgin_granules,Whole_granules,2023,41.132438870073315,1.8048710582067305e-5
Other (< 3%),ALAR.6,Granules,B_virgin_granules,Backwashed_granules,2023,41.67217332620982,1.8048710582067305e-5
Other (< 3%),ALAR.7,Backwash_water,A_used_granules,NA,2022,59.75546549824082,1.8048710582067305e-5
Other (< 3%),ALAR.8,Backwash_water,A_used_granules,NA,2022,64.06013644000406,1.8048710582067305e-5
Other (< 3%),ALAR.9,Backwash_water,A_used_granules,NA,2023,61.307950127362915,1.8048710582067305e-5
PLTA13,ALAR.1,Granules,A_used_granules,Whole_granules,2022,3.5052041722768186,1.5130717486035652
PLTA13,ALAR.2,Granules,A_used_granules,Backwashed_granules,2022,3.952149667206332,1.5130717486035652
PLTA13,ALAR.3,Granules,B_virgin_granules,Whole_granules,2022,0.11127030073844493,1.5130717486035652
PLTA13,ALAR.4,Granules,B_virgin_granules,Backwashed_granules,2022,0.14341747724414405,1.5130717486035652
PLTA13,ALAR.5,Granules,B_virgin_granules,Whole_granules,2023,2.2923722505489597,1.5130717486035652
PLTA13,ALAR.6,Granules,B_virgin_granules,Backwashed_granules,2023,2.6395059471923066,1.5130717486035652
PLTA13,ALAR.7,Backwash_water,A_used_granules,NA,2022,0.4514265397059006,1.5130717486035652
PLTA13,ALAR.8,Backwash_water,A_used_granules,NA,2022,0.08041709266799399,1.5130717486035652
PLTA13,ALAR.9,Backwash_water,A_used_granules,NA,2023,0.4418822898511865,1.5130717486035652
PeM15,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.13427118309486696,1.353245914118021
PeM15,ALAR.2,Granules,A_used_granules,Backwashed_granules,2022,0.026983270372369132,1.353245914118021
PeM15,ALAR.3,Granules,B_virgin_granules,Whole_granules,2022,0.05522905438112596,1.353245914118021
PeM15,ALAR.4,Granules,B_virgin_granules,Backwashed_granules,2022,0.04480735383722371,1.353245914118021
PeM15,ALAR.5,Granules,B_virgin_granules,Whole_granules,2023,0.09397446871859765,1.353245914118021
PeM15,ALAR.6,Granules,B_virgin_granules,Backwashed_granules,2023,0.04253015774822147,1.353245914118021
PeM15,ALAR.7,Backwash_water,A_used_granules,NA,2022,8.522091067167386,1.353245914118021
PeM15,ALAR.8,Backwash_water,A_used_granules,NA,2022,2.009829420100088,1.353245914118021
PeM15,ALAR.9,Backwash_water,A_used_granules,NA,2023,1.2494972516423113,1.353245914118021
Pedomicrobium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,3.016352777513953,1.3380267343670074
Pedomicrobium,ALAR.2,Granules,A_used_granules,Backwashed_granules,2022,3.445313905378665,1.3380267343670074
Pedomicrobium,ALAR.3,Granules,B_virgin_granules,Whole_granules,2022,1.1409672881559667,1.3380267343670074
Pedomicrobium,ALAR.4,Granules,B_virgin_granules,Backwashed_granules,2022,0.9384085582045829,1.3380267343670074
Pedomicrobium,ALAR.5,Granules,B_virgin_granules,Whole_granules,2023,1.2070136588633742,1.3380267343670074
Pedomicrobium,ALAR.6,Granules,B_virgin_granules,Backwashed_granules,2023,1.2859221662964315,1.3380267343670074
Pedomicrobium,ALAR.7,Backwash_water,A_used_granules,NA,2022,0.49989474968999803,1.3380267343670074
Pedomicrobium,ALAR.8,Backwash_water,A_used_granules,NA,2022,0.17936897992861114,1.3380267343670074
Pedomicrobium,ALAR.9,Backwash_water,A_used_granules,NA,2023,0.3289985252714841,1.3380267343670074
Planktothrix_NIVA-CYA_15,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.08249949252569495,0.8885195511726935
Planktothrix_NIVA-CYA_15,ALAR.2,Granules,A_used_granules,Backwashed_granules,2022,0.012367332254002519,0.8885195511726935
Planktothrix_NIVA-CYA_15,ALAR.3,Granules,B_virgin_granules,Whole_granules,2022,0.012507756433372645,0.8885195511726935
Planktothrix_NIVA-CYA_15,ALAR.4,Granules,B_virgin_granules,Backwashed_granules,2022,0.013577986011279911,0.8885195511726935
Planktothrix_NIVA-CYA_15,ALAR.5,Granules,B_virgin_granules,Whole_granules,2023,0.013956604265138263,0.8885195511726935
Planktothrix_NIVA-CYA_15,ALAR.6,Granules,B_virgin_granules,Backwashed_granules,2023,0.013708067373393695,0.8885195511726935
Planktothrix_NIVA-CYA_15,ALAR.7,Backwash_water,A_used_granules,NA,2022,6.495093920423689,0.8885195511726935
Planktothrix_NIVA-CYA_15,ALAR.8,Backwash_water,A_used_granules,NA,2022,0.9829420100087891,0.8885195511726935
Planktothrix_NIVA-CYA_15,ALAR.9,Backwash_water,A_used_granules,NA,2023,0.3700227912588819,0.8885195511726935
Terrimonas,ALAR.1,Granules,A_used_granules,Whole_granules,2022,3.0543435144783815,3.846283402834886
Terrimonas,ALAR.2,Granules,A_used_granules,Backwashed_granules,2022,3.0983540205072853,3.846283402834886
Terrimonas,ALAR.3,Granules,B_virgin_granules,Whole_granules,2022,1.5387789180953124,3.846283402834886
Terrimonas,ALAR.4,Granules,B_virgin_granules,Backwashed_granules,2022,1.9197574971698386,3.846283402834886
Terrimonas,ALAR.5,Granules,B_virgin_granules,Whole_granules,2023,5.472849752502884,3.846283402834886
Terrimonas,ALAR.6,Granules,B_virgin_granules,Backwashed_granules,2023,6.0978053032646296,3.846283402834886
Terrimonas,ALAR.7,Backwash_water,A_used_granules,NA,2022,6.158469819694721,3.846283402834886
Terrimonas,ALAR.8,Backwash_water,A_used_granules,NA,2022,3.359580994062887,3.846283402834886
Terrimonas,ALAR.9,Backwash_water,A_used_granules,NA,2023,3.9166108057380344,3.846283402834886
