Genus,Sample,Samples_type,pilot,granule_type,year,mean_abundance
Polynucleobacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.01229112078260918
Candidatus_Paracaedibacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.011918662577075571
Genus of Burkholderiales,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.011732433474308765
Rhizobacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.011732433474308763
Genus of Anaerolineaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.011173746166008348
UBA12409,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.010987517063241541
Genus of Isosphaeraceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.010801287960474736
Phreatobacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.010801287960474736
Steroidobacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.010801287960474734
Genus of Fodinicurvataceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.01061505885770793
SJA-28,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.010428829754941122
Genus of Acetobacteraceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.010242600652174319
Flavihumibacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.009870142446640707
Candidatus_Ovatusbacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.009497684241107095
Sediminibacterium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.009497684241107095
Genus of Proteobacteria,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.009125226035573484
Microbacterium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.008938996932806677
1-20,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.008752767830039872
AKYG1722,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.008566538727273067
Caedibacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.00838030962450626
Ga0077536,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.008194080521739455
Sterolibacterium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.008194080521739453
Candidatus_Obscuribacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.008007851418972648
Genus of Oligoflexales,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.007821622316205843
OLB8,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.007821622316205843
Sandaracinus,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.007821622316205843
Babeliales,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.007635393213439037
Intestinibacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.007449164110672231
Acidovorax,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.007262935007905426
Candidatus_Finniella,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.007262935007905426
EC3,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.007262935007905426
Genus of Xanthomonadaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.007262935007905426
Inquilinus,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.007262935007905426
Genus of Ardenticatenales,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.00707670590513862
Candidatus_Berkiella,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.007076705905138619
Angustibacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.006890476802371814
Longivirga,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.006890476802371814
Oikopleura,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.006890476802371814
Solirubrobacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.006890476802371814
KD3-10,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.0068904768023718135
IMCC26207,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.006704247699605008
Candidatus_Woesebacteria,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.006331789494071397
Thiothrix,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.006331789494071397
Armatimonadales,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.006331789494071396
Edaphobaculum,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.006331789494071396
Parvibium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.006331789494071396
Giesbergeria,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.006145560391304591
Microcystis_PCC-7914,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.00614556039130459
Genus of Nitrosomonadaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.005959331288537785
Rurimicrobium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.005959331288537785
Candidatus_Protochlamydia,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.005773102185770979
Subgroup_7,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.005586873083004174
Telmatocola,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.005586873083004174
P3OB-42,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.005400643980237368
Clostridium_sensu_stricto_12,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.005214414877470562
Acinetobacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.005028185774703756
Escherichia-Shigella,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.005028185774703756
Iamia,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.005028185774703756
Lacihabitans,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.005028185774703756
Lawsonella,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.005028185774703756
Plot4-2H12,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.005028185774703756
Aquicella,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.00484195667193695
